name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_nm,max_torque_rpm,selling_price
Mahindra Verito 1.5 D4 BSIII,2011,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,160.0,2000.0,174000
Honda WR-V i-DTEC VX,2017,50000,Diesel,Individual,Manual,First Owner,25.0,1498.0,98.6,5.0,200.0,1750.0,950000
Maruti Swift Dzire ZDI,2015,40000,Diesel,Individual,Manual,First Owner,26.5,1248.0,74.0,5.0,190.0,2000.0,525000
Maruti SX4 ZDI,2012,72000,Diesel,Individual,Manual,First Owner,21.0,1248.0,88.8,5.0,200.0,1750.0,600000
Maruti Baleno Delta 1.2,2016,45000,Petrol,Individual,Manual,First Owner,21.0,1197.0,83.1,5.0,115.0,4000.0,575000
Maruti Alto 800 LXI,2017,28000,Petrol,Individual,Manual,First Owner,24.0,796.0,47.3,5.0,69.0,3500.0,275000
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,70000,Diesel,Individual,Manual,First Owner,18.0,1248.0,73.8,7.0,172.5,1750.0,300000
Maruti Wagon R LXI Minor,2009,120000,Petrol,Individual,Manual,First Owner,18.0,1061.0,67.0,5.0,84.0,3500.0,220000
Maruti Omni E MPI STD BS IV,2018,25000,Petrol,Individual,Manual,First Owner,16.0,796.0,34.2,8.0,59.0,2500.0,254999
Maruti Vitara Brezza LDi Option,2017,70000,Diesel,Individual,Manual,First Owner,24.0,1248.0,88.5,5.0,200.0,1750.0,670000
Fiat Palio 1.2 ELX,2003,50000,Petrol,Individual,Manual,Second Owner,,,,,,,70000
Maruti Omni 8 Seater BSIV,2012,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,59.820564999999995,3000.0,150000
Maruti Vitara Brezza LDi,2017,16200,Diesel,Individual,Manual,First Owner,24.0,1248.0,88.5,5.0,200.0,1750.0,650000
Maruti Alto 800 CNG LXI Optional,2019,10000,CNG,Individual,Manual,Second Owner,25.08,796.0,40.3,4.0,60.0,3500.0,330000
Maruti Alto K10 VXI Airbag,2019,15000,Petrol,Individual,Manual,First Owner,23.9,998.0,67.1,5.0,90.0,3500.0,366000
Hyundai Verna VTVT 1.6 SX Option,2019,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,151.0,4850.0,1149000
Datsun GO D,2016,42000,Petrol,Individual,Manual,First Owner,20.6,1198.0,67.0,5.0,104.0,4000.0,150000
Tata Safari DICOR 2.2 LX 4x2,2011,60000,Diesel,Individual,Manual,Second Owner,13.9,2179.0,138.03,7.0,320.0,2200.0,425000
Maruti 800 Std,2012,76000,Petrol,Individual,Manual,First Owner,16.0,796.0,37.0,4.0,59.0,2500.0,150000
Jeep Compass 1.4 Limited Plus BSIV,2019,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,250.0,2125.0,2100000
Honda City i VTEC VX,2018,28900,Petrol,Dealer,Manual,First Owner,17.0,1497.0,117.3,5.0,145.0,4600.0,925000
Honda City V MT,2013,86300,Petrol,Dealer,Manual,First Owner,16.0,1497.0,116.3,5.0,146.0,4800.0,425000
Maruti Vitara Brezza VDi,2018,32600,Diesel,Dealer,Manual,First Owner,24.0,1248.0,88.5,5.0,200.0,1750.0,819999
Maruti Alto K10 VXI,2018,10300,Petrol,Dealer,Manual,First Owner,23.9,998.0,67.05,5.0,90.0,3500.0,390000
Toyota Fortuner 4x4 MT,2014,77000,Diesel,Dealer,Manual,First Owner,12.5,2982.0,168.5,7.0,343.0,2400.0,1500000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,99000,Diesel,Dealer,Manual,First Owner,12.9,2494.0,100.0,7.0,200.0,2400.0,700000
Mercedes-Benz B Class B180,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.0,2143.0,120.7,5.0,200.0,2625.0,1450000
Honda Amaze S Diesel,2015,49800,Diesel,Dealer,Manual,First Owner,24.0,1498.0,98.63,5.0,200.0,1750.0,425000
Mitsubishi Pajero Sport 4X4,2013,151000,Diesel,Dealer,Manual,First Owner,13.0,2477.0,175.56,7.0,400.0,2250.0,1090000
Honda City i DTEC S,2015,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,200.0,1750.0,600000
Honda Jazz VX Diesel,2015,63000,Diesel,Dealer,Manual,First Owner,27.0,1498.0,98.6,5.0,200.0,1750.0,525000
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.3,2755.0,171.5,7.0,360.0,2300.0,1650000
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,99000,Diesel,Dealer,Manual,First Owner,12.9,2494.0,100.6,7.0,200.0,2400.0,950000
Audi A6 2.0 TDI Technology,2013,33900,Diesel,Dealer,Automatic,Second Owner,17.6,1968.0,174.33,5.0,380.0,2125.0,1750000
Audi A6 2.0 TDI  Design Edition,2013,50000,Diesel,Dealer,Automatic,First Owner,18.5,1968.0,187.74,5.0,400.0,2375.0,1689999
Mercedes-Benz New C-Class 220 CDI AT,2013,59000,Diesel,Dealer,Automatic,First Owner,14.8,2143.0,170.0,5.0,400.0,2100.0,1425000
Tata Manza ELAN Quadrajet BS IV,2011,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,88.8,5.0,200.0,2375.0,265000
Hyundai i10 Magna,2011,110000,Petrol,Individual,Manual,Third Owner,20.3,1197.0,78.9,5.0,111.7,4000.0,190000
Hyundai i20 Asta 1.4 CRDi,2013,60000,Diesel,Individual,Manual,First Owner,21.2,1396.0,88.76,5.0,219.6,2125.0,425000
Maruti Swift Dzire ZDI,2015,147000,Diesel,Individual,Manual,Second Owner,26.5,1248.0,74.0,5.0,190.0,2000.0,630000
Ford Figo 1.2P Titanium MT,2017,25000,Petrol,Individual,Manual,Third Owner,18.1,1196.0,86.8,5.0,112.0,4000.0,600000
Maruti Baleno Delta 1.2,2019,30000,Petrol,Individual,Manual,First Owner,21.0,1197.0,83.1,5.0,115.0,4000.0,650000
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,250.0,2250.0,540000
Honda City i DTEC VX,2015,135000,Diesel,Individual,Manual,First Owner,25.0,1498.0,98.6,5.0,200.0,1750.0,630000
Maruti Wagon R AMT VXI,2018,30000,Petrol,Individual,Automatic,First Owner,20.5,998.0,67.0,5.0,90.0,3500.0,448000
Volkswagen Ameo 1.5 TDI Comfortline,2017,80000,Diesel,Individual,Manual,First Owner,21.6,1498.0,108.62,5.0,250.0,2250.0,500000
Maruti Vitara Brezza ZDi Plus AMT,2019,9850,Diesel,Individual,Automatic,First Owner,24.0,1248.0,88.5,5.0,200.0,1750.0,1025000
Maruti Swift VDI Deca,2016,70000,Diesel,Individual,Manual,First Owner,25.0,1248.0,74.0,5.0,190.0,2000.0,630000
Toyota Fortuner 4x4 MT,2015,78000,Diesel,Individual,Manual,Second Owner,12.5,2982.0,168.5,7.0,343.0,2400.0,1700000
Maruti Swift Star VDI,2013,120000,Diesel,Individual,Manual,Second Owner,22.0,1248.0,74.0,5.0,190.0,2000.0,450000
Maruti Ertiga ZXI,2012,120000,Petrol,Individual,Manual,Second Owner,16.0,1373.0,93.7,7.0,130.0,4000.0,450000
Tata Indica DLS,2003,70000,Diesel,Individual,Manual,First Owner,,,,,,,50000
Volkswagen Vento Diesel Highline,2013,170000,Diesel,Individual,Manual,First Owner,20.5,1598.0,103.6,5.0,250.0,2000.0,450000
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,140000,Diesel,Individual,Manual,First Owner,12.9,2494.0,100.6,8.0,200.0,2400.0,1200000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,90000,Diesel,Individual,Manual,First Owner,22.7,1498.0,98.59,5.0,205.0,2500.0,610000
BMW X1 sDrive20i xLine,2016,30000,Petrol,Individual,Automatic,Second Owner,15.7,1998.0,189.0,5.0,280.0,2975.0,2500000
Maruti Celerio ZXI MT BSIV,2017,10000,Petrol,Dealer,Manual,First Owner,23.0,998.0,67.04,5.0,90.0,3500.0,484999
Datsun GO A Petrol,2016,49000,Petrol,Dealer,Manual,First Owner,19.0,1198.0,67.05,5.0,104.0,4000.0,275000
Maruti Alto 800 VXI BSIV,2016,32000,Petrol,Dealer,Manual,First Owner,24.0,796.0,47.3,5.0,69.0,3500.0,315000
Maruti Alto 800 LXI BSIV,2016,38000,Petrol,Dealer,Manual,First Owner,24.0,796.0,47.3,5.0,69.0,3500.0,275000
Maruti Swift VDI BSIV W ABS,2015,78000,Diesel,Dealer,Manual,First Owner,,,,,,,475000
Hyundai i10 Era 1.1,2012,28000,Petrol,Dealer,Manual,First Owner,19.8,1086.0,68.05,5.0,99.04,4500.0,290000
Maruti Omni 8 Seater BSIV,2017,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0,59.820564999999995,3000.0,280000
Maruti Wagon R LXI LPG BSIV,2010,44000,LPG,Dealer,Manual,First Owner,19.65,998.0,58.2,5.0,77.0,3500.0,225000
Volkswagen Polo 1.2 MPI Comfortline,2015,42000,Petrol,Dealer,Manual,First Owner,16.4,1198.0,74.0,5.0,110.0,3750.0,455000
Hyundai i10 Magna 1.1L,2015,45000,Petrol,Dealer,Manual,Second Owner,19.8,1086.0,68.05,5.0,99.04,4500.0,351000
Volkswagen Vento Petrol Highline,2012,12000,Petrol,Dealer,Manual,Second Owner,15.0,1598.0,103.6,5.0,153.0,3800.0,535000
Maruti Zen Estilo LXI BSIII,2009,55500,Petrol,Dealer,Manual,First Owner,18.0,998.0,67.1,5.0,90.0,3500.0,175000
Hyundai i20 Asta Optional with Sunroof 1.2,2013,61500,Petrol,Dealer,Manual,First Owner,18.0,1197.0,82.85,5.0,113.7,4000.0,525000
Maruti Swift Dzire LDI,2016,150000,Diesel,Individual,Manual,First Owner,26.5,1248.0,74.0,5.0,190.0,2000.0,600000
Hyundai Xcent 1.2 Kappa SX Option AT,2016,72000,Petrol,Dealer,Automatic,First Owner,19.0,1197.0,82.0,5.0,114.0,4000.0,565000
Maruti Alto LX BSIII,2008,68000,Petrol,Dealer,Manual,Third Owner,19.0,796.0,46.3,5.0,62.0,3000.0,120000
Hyundai i20 1.4 Asta Option,2017,110000,Diesel,Individual,Manual,First Owner,22.5,1396.0,88.73,5.0,219.7,2125.0,725000
Maruti Wagon R VXI,2009,77000,Petrol,Dealer,Manual,Second Owner,21.7,998.0,67.05,5.0,90.0,3500.0,185000
Tata Manza Aura (ABS) Quadrajet,2010,100000,Diesel,Individual,Manual,Second Owner,18.0,1248.0,90.0,5.0,200.0,2375.0,200000
Maruti Swift VXI,2019,10000,Petrol,Individual,Manual,First Owner,21.2,1197.0,81.8,5.0,113.0,4200.0,615000
Maruti Baleno Zeta 1.2,2018,35000,Petrol,Individual,Manual,First Owner,21.0,1197.0,83.1,5.0,115.0,4000.0,610000
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,70000,Diesel,Individual,Automatic,Second Owner,11.7,2179.0,120.0,8.0,290.0,2300.0,625000
Ford Freestyle Titanium Petrol BSIV,2020,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,120.0,4250.0,400000
Hyundai Verna VTVT 1.6 SX,2017,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,151.0,4850.0,866000
Volkswagen Passat 1.8 TSI MT,2010,114000,Petrol,Individual,Manual,First Owner,14.0,1798.0,160.0,5.0,250.0,3000.0,700000
Mahindra XUV500 W11 Option AWD,2019,32000,Diesel,Individual,Manual,First Owner,15.0,2179.0,155.0,7.0,360.0,2275.0,1700000
Tata Indigo CS LS (TDI) BS-III,2016,100000,Diesel,Individual,Manual,First Owner,19.0,1405.0,69.01,5.0,135.0,2500.0,375000
Hyundai Verna 1.6 SX,2013,150000,Diesel,Individual,Manual,Second Owner,22.3,1582.0,126.32,5.0,259.8,2325.0,522000
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,69000,Diesel,Individual,Manual,First Owner,21.0,1396.0,88.76,5.0,219.6,2125.0,451999
Toyota Corolla Altis G,2009,100000,Petrol,Individual,Manual,Second Owner,14.5,1798.0,138.1,5.0,173.0,4000.0,300000
Maruti Celerio VXI,2020,13000,Petrol,Individual,Manual,First Owner,21.6,998.0,67.04,5.0,90.0,3500.0,475000
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,60000,Diesel,Individual,Manual,First Owner,24.0,1248.0,88.5,5.0,200.0,1750.0,780000
Maruti Swift Dzire VXI,2017,40000,Petrol,Individual,Manual,First Owner,20.8,1197.0,83.14,5.0,115.0,4000.0,595000
Maruti Swift VDI BSIV,2010,120000,Diesel,Individual,Manual,Second Owner,,,,,,,300000
Nissan Terrano XL 85 PS,2014,70000,Diesel,Individual,Manual,Third Owner,20.4,1461.0,83.8,5.0,200.0,1900.0,400000
Hyundai Creta 1.6 CRDi SX,2016,50000,Diesel,Individual,Manual,First Owner,19.6,1582.0,126.2,5.0,259.9,2325.0,1140000
Maruti Swift Dzire VDi,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.0,1248.0,73.9,5.0,190.0,2000.0,370000
Renault KWID 1.0,2018,25000,Petrol,Individual,Manual,First Owner,23.0,999.0,67.0,5.0,91.0,4250.0,350000
Maruti Celerio VXI,2015,40000,Petrol,Individual,Manual,Second Owner,23.0,998.0,67.04,5.0,90.0,3500.0,360000
Maruti Alto LXi,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.0,796.0,46.3,5.0,62.0,3000.0,105000
Hyundai Santro Xing GLS,2009,80000,Petrol,Individual,Manual,Second Owner,17.9,1086.0,62.1,5.0,96.1,3000.0,135000
Maruti Ertiga VDI,2015,110000,Diesel,Individual,Manual,Second Owner,20.7,1248.0,88.76,7.0,200.0,1750.0,700000
Honda Amaze S i-VTEC,2019,1303,Petrol,Dealer,Manual,First Owner,17.0,1198.0,86.7,5.0,109.0,4500.0,690000
Audi Q5 35TDI Premium Plus,2018,31800,Diesel,Dealer,Automatic,First Owner,17.0,1968.0,188.0,5.0,400.0,2375.0,3975000
Lexus ES 300h,2019,20000,Petrol,Dealer,Automatic,First Owner,22.3,2487.0,214.56,5.0,202.0,4400.0,5150000
Jaguar XF 2.0 Diesel Portfolio,2017,45000,Diesel,Dealer,Automatic,First Owner,19.3,1999.0,177.0,5.0,430.0,2125.0,3200000
Land Rover Discovery Sport TD4 SE,2019,21000,Diesel,Dealer,Automatic,First Owner,12.8,1999.0,148.31,7.0,382.0,2000.0,4500000
Mercedes-Benz S-Class S 350 CDI,2017,37000,Diesel,Dealer,Automatic,First Owner,13.0,2987.0,254.79,5.0,620.0,2000.0,6000000
BMW 5 Series 520d Sport Line,2018,29500,Diesel,Dealer,Automatic,First Owner,22.4,1995.0,187.74,5.0,400.0,2125.0,3790000
BMW X1 sDrive 20D xLine,2017,27000,Diesel,Dealer,Automatic,First Owner,,,,,,,2150000
BMW X4 M Sport X xDrive20d,2019,7500,Diesel,Dealer,Automatic,First Owner,16.7,1995.0,190.0,5.0,400.0,2125.0,5800000
Skoda Superb LK 1.8 TSI AT,2018,50000,Petrol,Dealer,Automatic,First Owner,14.6,1798.0,177.46,5.0,250.0,3125.0,1864999
Mercedes-Benz E-Class E250 Edition E,2016,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0,500.0,1700.0,2700000
MG Hector Sharp AT BSIV,2019,19000,Petrol,Dealer,Automatic,First Owner,13.9,1451.0,141.0,5.0,250.0,2600.0,1750000
Toyota Corolla Altis 1.8 G CVT,2013,39000,Petrol,Dealer,Automatic,First Owner,14.2,1798.0,138.03,5.0,173.0,4000.0,625000
Volvo XC40 D4 R-Design,2018,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0,400.0,,3400000
Audi Q7 35 TDI Quattro Premium,2015,53000,Diesel,Dealer,Automatic,First Owner,12.0,2967.0,241.4,7.0,550.0,2250.0,2650000
Maruti Ciaz ZDi,2015,40000,Diesel,Dealer,Manual,First Owner,26.2,1248.0,88.5,5.0,200.0,1750.0,535000
Mercedes-Benz S-Class S 350 CDI,2017,47000,Diesel,Dealer,Automatic,First Owner,13.0,2987.0,282.0,5.0,490.0,1600.0,5850000
BMW 5 Series 523i,2010,72200,Petrol,Dealer,Automatic,Second Owner,10.0,2497.0,150.0,5.0,250.0,2750.0,975000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,9000,Diesel,Dealer,Automatic,First Owner,13.0,1999.0,177.0,5.0,430.0,2125.0,2625000
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,170.0,2875.0,811000
Volkswagen Vento Petrol Highline,2011,49000,Petrol,Individual,Manual,First Owner,15.0,1598.0,103.6,5.0,153.0,3800.0,375000
Hyundai Elantra SX,2012,95000,Petrol,Individual,Manual,First Owner,16.0,1797.0,147.5,5.0,177.5,4700.0,550000
Skoda Rapid 1.6 MPI AT Elegance,2016,11000,Petrol,Dealer,Automatic,First Owner,14.0,1598.0,103.5,5.0,153.0,3800.0,645000
Mercedes-Benz CLA 200 CGI Sport,2018,18000,Petrol,Dealer,Automatic,First Owner,15.0,1991.0,183.0,5.0,300.0,2600.0,2550000
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,16000,Petrol,Dealer,Automatic,First Owner,14.7,1991.0,181.04,5.0,300.0,1300.0,2700000
Honda City V AT,2017,18000,Petrol,Dealer,Automatic,First Owner,15.0,1497.0,116.3,5.0,146.0,4800.0,875000
Toyota Glanza V CVT,2019,9654,Petrol,Dealer,Automatic,First Owner,19.5,1197.0,81.8,5.0,113.0,4200.0,894999
Maruti Alto K10 VXI,2011,11000,Petrol,Dealer,Manual,First Owner,23.9,998.0,67.05,5.0,90.0,3500.0,175000
Maruti Swift VXI,2012,24300,Petrol,Dealer,Manual,First Owner,21.2,1197.0,81.8,5.0,113.0,4200.0,340000
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,8000,Diesel,Dealer,Automatic,First Owner,21.0,1497.0,108.5,5.0,260.0,2125.0,1025000
BMW 3 Series 320d Luxury Line,2016,30000,Diesel,Dealer,Automatic,First Owner,22.6,1995.0,190.0,5.0,400.0,2125.0,2150000
Toyota Camry 2.5 Hybrid,2016,41000,Petrol,Dealer,Automatic,First Owner,19.1,2494.0,157.7,5.0,213.0,4500.0,1900000
BMW 5 Series 520d Luxury Line,2016,12000,Diesel,Dealer,Automatic,First Owner,18.1,1995.0,190.0,5.0,400.0,2125.0,2900000
Toyota Camry W4 (AT),2009,71000,Petrol,Dealer,Automatic,First Owner,12.0,2362.0,164.7,5.0,224.0,4000.0,450000
Maruti Ertiga BSIV ZXI Plus,2016,20000,Petrol,Individual,Manual,First Owner,17.0,1373.0,91.1,7.0,130.0,4000.0,850000
Volvo XC90 T8 Excellence BSIV,2017,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4.0,640.0,1740.0,10000000
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,9500,Petrol,Individual,Manual,First Owner,18.1,1196.0,86.8,5.0,112.0,4000.0,575000
Ford Figo Diesel LXI,2011,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,160.0,2000.0,160000
Maruti Swift VXI Optional,2015,36600,Petrol,Individual,Manual,First Owner,20.0,1197.0,81.8,5.0,113.0,4200.0,515000
Maruti Wagon R AMT VXI,2015,50000,Petrol,Individual,Automatic,Second Owner,20.5,998.0,67.0,5.0,90.0,3500.0,390000
Hyundai i20 Magna 1.2,2016,14000,Petrol,Individual,Manual,Second Owner,18.0,1197.0,81.83,5.0,114.7,4000.0,550000
Maruti 800 Std,1999,40000,Petrol,Individual,Manual,Second Owner,16.0,796.0,37.0,4.0,59.0,2500.0,40000
Maruti Ritz VDi,2010,120000,Diesel,Individual,Manual,First Owner,21.0,1248.0,73.9,5.0,113.0,4500.0,220000
Hyundai Grand i10 Magna,2015,70000,Petrol,Individual,Manual,First Owner,18.0,1197.0,82.0,5.0,114.0,4000.0,425000
Volkswagen Ameo 1.0 MPI Trendline,2019,13000,Petrol,Individual,Manual,First Owner,19.4,999.0,75.0,5.0,95.0,3650.0,480000
Maruti Swift Dzire VXI,2014,35000,Petrol,Individual,Manual,First Owner,19.0,1197.0,85.8,5.0,114.0,4000.0,487000
Hyundai Xcent 1.2 Kappa S,2016,44000,Petrol,Individual,Manual,Second Owner,19.0,1197.0,82.0,5.0,114.0,4000.0,386000
Honda City 1.5 EXI,2005,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0,128.46711499999998,4600.0,100000
Toyota Corolla Altis Diesel D4DG,2010,60000,Diesel,Individual,Manual,First Owner,21.4,1364.0,87.2,5.0,205.0,2300.0,300000
Daewoo Matiz SD,2000,60000,Petrol,Individual,Manual,First Owner,18.0,796.0,53.0,5.0,71.0,3500.0,100000
Toyota Fortuner 4x2 Manual,2014,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7.0,343.0,2400.0,1750000
Mahindra KUV 100 mFALCON G80 K8,2016,15000,Petrol,Individual,Manual,Second Owner,18.1,1198.0,82.0,6.0,115.0,3550.0,450000
Tata Zest Quadrajet 1.3 75PS XM,2017,90000,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,5.0,190.0,2375.0,490000
Honda City 1.5 S MT,2009,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,146.0,4800.0,345000
Maruti Zen LXI,2005,90000,Petrol,Individual,Manual,First Owner,17.0,993.0,60.0,5.0,78.0,4500.0,85000
Hyundai Getz GLS,2005,86000,Petrol,Individual,Manual,First Owner,15.0,1341.0,83.0,5.0,115.0,3200.0,65000
Maruti Ciaz 1.3 Alpha,2017,37000,Diesel,Individual,Manual,First Owner,28.0,1248.0,88.5,5.0,200.0,1750.0,800000
Tata Tigor 1.2 Revotron XZ,2019,14000,Petrol,Individual,Manual,First Owner,20.0,1199.0,84.0,5.0,114.0,3500.0,520000
Maruti Ertiga VDI,2015,70000,Diesel,Individual,Manual,First Owner,20.7,1248.0,88.76,7.0,200.0,1750.0,580000
Toyota Etios GD,2012,120000,Diesel,Individual,Manual,First Owner,,,,,,,235000
Honda City i VTEC S,2015,50000,Petrol,Individual,Manual,First Owner,17.0,1497.0,117.3,5.0,145.0,4600.0,600000
Maruti Wagon R LXI CNG,2016,50000,CNG,Individual,Manual,First Owner,19.950000000000003,998.0,58.16,5.0,77.0,3500.0,360000
Maruti Swift Dzire VXI,2017,50000,Petrol,Individual,Manual,First Owner,20.8,1197.0,83.14,5.0,115.0,4000.0,550000
Maruti Omni E 8 Str STD,2003,90000,Petrol,Individual,Manual,Second Owner,,,,,,,40000
Maruti Wagon R AMT VXI,2018,35000,Petrol,Individual,Automatic,First Owner,20.5,998.0,67.0,5.0,90.0,3500.0,420000
Maruti Swift Dzire VXI 1.2,2017,20000,Petrol,Individual,Manual,First Owner,21.2,1197.0,81.8,5.0,113.0,4200.0,550000
Maruti Swift Dzire AMT VXI BS IV,2018,7800,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5.0,113.0,4200.0,700000
Maruti Swift VXI Optional,2017,20000,Petrol,Individual,Manual,First Owner,20.0,1197.0,81.8,5.0,113.0,4200.0,500000
Tata Hexa XE,2019,15000,Diesel,Individual,Manual,First Owner,17.0,2179.0,147.94,7.0,320.0,2250.0,1250000
Hyundai i20 Magna,2013,31377,Petrol,Individual,Manual,Second Owner,18.0,1197.0,82.85,5.0,113.7,4000.0,320000
Maruti Swift Dzire VDI,2018,50000,Diesel,Individual,Manual,First Owner,28.0,1248.0,74.02,5.0,190.0,2000.0,700000
Maruti Wagon R VXI BS IV,2015,60000,Petrol,Individual,Manual,First Owner,20.5,998.0,67.04,5.0,90.0,3500.0,290000
Toyota Corolla Altis 1.8 VL AT,2012,100000,Petrol,Individual,Automatic,First Owner,14.5,1794.0,138.1,5.0,173.0,4000.0,550000
Maruti Baleno Alpha Automatic,2018,5000,Petrol,Individual,Automatic,First Owner,21.0,1197.0,83.1,5.0,115.0,4000.0,830000
Tata Safari Storme EX,2017,60000,Diesel,Individual,Manual,First Owner,14.0,2179.0,147.94,7.0,320.0,2250.0,800000
Datsun GO T BSIV,2017,80000,Petrol,Individual,Manual,Second Owner,20.6,1198.0,67.0,5.0,104.0,4000.0,329000
Maruti Vitara Brezza VDi Option,2017,75000,Diesel,Individual,Manual,First Owner,24.0,1248.0,88.5,5.0,200.0,1750.0,775000
Hyundai Xcent 1.2 VTVT SX,2020,32000,Petrol,Individual,Manual,First Owner,20.1,1197.0,81.86,5.0,113.75,4000.0,524000
Maruti Alto 800 LXI,2015,40000,Petrol,Individual,Manual,First Owner,22.7,796.0,47.3,5.0,69.0,3500.0,245000
Hyundai i20 1.2 Sportz,2012,93000,Petrol,Individual,Manual,Second Owner,17.0,1197.0,80.0,5.0,111.79581,4000.0,275000
